Client,Matricule,Numero,present
CREDIT MUTUEL DU SENEGAL,DK3598BH.,126254,non
CREDIT MUTUEL DU SENEGAL,DK3598BH.,126254,non
CREDIT MUTUEL DU SENEGAL,DK3598BH.,126254,non
CREDIT MUTUEL DU SENEGAL,DK3598BH.,126254,non
CREDIT MUTUEL DU SENEGAL,DK3598BH.,126254,non
CREDIT MUTUEL DU SENEGAL,DK3598BH.,126254,non
CREDIT MUTUEL DU SENEGAL,DK3598BH.,126254,non
DANIEL HADDAD &. FILS SA,AA554KR,109924,non
DANIEL HADDAD &. FILS SA,AA554KR,109924,non
DANIEL HADDAD &. FILS SA,AA554KR,109924,non
DANIEL HADDAD &. FILS SA,AA554KR,109924,non
DANIEL HADDAD &. FILS SA,AA115DA,109923,non
DANIEL HADDAD &. FILS SA,AA554KR,109924,non
DANIEL HADDAD &. FILS SA,AA554KR,109924,non
DANIEL HADDAD &. FILS SA,AA115DA,109923,non
DANIEL HADDAD &. FILS SA,AA115DA,109923,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
FONROCHE LIGHTING SENEGAL,2451TTA1,109922,non
GRANDE COTE OPERATIONS SA,AB009FB,126252,non
GRANDE COTE OPERATIONS SA,AB009FB,126252,non
GRANDE COTE OPERATIONS SA,AB009FB,126252,non
GRANDE COTE OPERATIONS SA,AB009FB,126252,non
GRANDE COTE OPERATIONS SA,AB009FB,126252,non
GRANDE COTE OPERATIONS SA,AB009FB,126252,non
GRANDE COTE OPERATIONS SA,AB009FB,126252,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GDS,EX1411,116294,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AB888DT,116052,non
GECAMINES,AB888DT,116052,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AB888DT,116052,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GECAMINES,AA898DT,116053,non
GLOBAL TRANSPORT ET MINES,AA291NW,126250,non
GLOBAL TRANSPORT ET MINES,AA291NW,126250,non
GLOBAL TRANSPORT ET MINES,AA291NW,126250,non
GLOBAL TRANSPORT ET MINES,AA291NW,126250,non
GLOBAL TRANSPORT ET MINES,AA291NW,126250,non
GLOBAL TRANSPORT ET MINES,AA291NW,126250,non
GLOBAL TRANSPORT ET MINES,AA291NW,126250,non
GLOBAL TRANSPORT ET MINES,AA291NW,126250,non
LES MINES DE DIAMA,6255TTA1,126240,non
LES MINES DE DIAMA,6255TTA1,126240,non
LES MINES DE DIAMA,6256TTA1,126248,non
LES MINES DE DIAMA,6256TTA1,126248,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6256TTA1,126248,non
LES MINES DE DIAMA,6252TTA1,126242,non
LES MINES DE DIAMA,6252TTA1,126242,non
LES MINES DE DIAMA,6256TTA1,126248,non
LES MINES DE DIAMA,6256TTA1,126248,non
LES MINES DE DIAMA,6256TTA1,126248,non
LES MINES DE DIAMA,6256TTA1,126248,non
LES MINES DE DIAMA,6256TTA1,126248,non
LES MINES DE DIAMA,6252TTA1,126242,non
LES MINES DE DIAMA,6252TTA1,126242,non
LES MINES DE DIAMA,6257TTA1,126238,non
LES MINES DE DIAMA,6249TTA1,126249,non
LES MINES DE DIAMA,6250TTA1,126239,non
LES MINES DE DIAMA,6254TTA1,126234,non
LES MINES DE DIAMA,6253TTA1,126237,non
LES MINES DE DIAMA,6257TTA1,126238,non
LES MINES DE DIAMA,6254TTA1,126234,non
LES MINES DE DIAMA,6252TTA1,126242,non
LES MINES DE DIAMA,6252TTA1,126242,non
LES MINES DE DIAMA,6254TTA1,126234,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6251TTA1,126236,non
LES MINES DE DIAMA,6248TTA1,126241,non
LES MINES DE DIAMA,6254TTA1,126234,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
POLY TRANS SUARL,AA634RL,126263,non
,,0,non
,,0,non
N°,,0,non
1,,0,non
2,,0,non
3,,0,non
4,,0,non
5,,0,non
6,,0,non
7,,0,non
8,,0,non
9,,0,non
10,,0,non
11,,0,non
12,,0,non
13,,0,non
14,,0,non
15,,0,non
16,,0,non
17,,0,non
18,,0,non
19,,0,non
20,,0,non
21,,0,non
22,,0,non
23,,0,non
24,,0,non
25,,0,non
26,,0,non
27,,0,non
28,,0,non
29,,0,non
30,,0,non
31,,0,non
32,,0,non
33,,0,non
34,,0,non
35,,0,non
36,,0,non
37,,0,non
38,,0,non
39,,0,non
40,,0,non
41,,0,non
42,,0,non
43,,0,non
44,,0,non
45,,0,non
46,,0,non
47,,0,non
48,,0,non
49,,0,non
50,,0,non
51,,0,non
52,,0,non
53,,0,non
54,,0,non
55,,0,non
56,,0,non
57,,0,non
58,,0,non
59,,0,non
60,,0,non
61,,0,non
62,,0,non
63,,0,non
64,,0,non
65,,0,non
66,,0,non
67,,0,non
68,,0,non
69,,0,non
70,,0,non
71,,0,non
72,,0,non
73,,0,non
74,,0,non
75,,0,non
76,,0,non
77,,0,non
78,,0,non
79,,0,non
80,,0,non
81,,0,non
82,,0,non
83,,0,non
84,,0,non
85,,0,non
86,,0,non
87,,0,non
88,,0,non
89,,0,non
90,,0,non
91,,0,non
92,,0,non
93,,0,non
94,,0,non
95,,0,non
96,,0,non
97,,0,non
98,,0,non
99,,0,non
100,,0,non
101,,0,non
102,,0,non
103,,0,non
Total GC ,,0,non
SENELEC,DK8987BH,109921,non
SENELEC,DK8987BH,109921,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
TRANSPORT SUNU KEUR SA,AA200VW,118739,non
