"ct_numero";"uo_libelle"
"64149";"DAKAR VISION"
"64150";"DAKAR VISION"
"64151";"DAKAR VISION"
"64152";"DAKAR VISION"
"64153";"DAKAR VISION"
"64154";"DAKAR VISION"
"64155";"DAKAR VISION"
"64156";"DAKAR VISION"
"64157";"DAKAR VISION"
"64158";"DAKAR VISION"
"69111";"DAKAR VISION"
"69112";"DAKAR VISION"
"69113";"DAKAR VISION"
"69114";"DAKAR VISION"
"69115";"DAKAR VISION"
"69116";"DAKAR VISION"
"69117";"DAKAR VISION"
"69118";"DAKAR VISION"
"69119";"DAKAR VISION"
"69120";"DAKAR VISION"
"69121";"DAKAR VISION"
"69122";"DAKAR VISION"
"69146";"DAKAR VISION"
"12386";"KHOURY TRANSPORTs"
"12391";"KHOURY TRANSPORTs"
"12392";"KHOURY TRANSPORTs"
"12393";"KHOURY TRANSPORTs"
"12394";"KHOURY TRANSPORTs"
"12396";"KHOURY TRANSPORTs"
"12397";"KHOURY TRANSPORTs"
"12398";"KHOURY TRANSPORTs"
"12399";"KHOURY TRANSPORTs"
"12409";"KHOURY TRANSPORTs"
"12410";"KHOURY TRANSPORTs"
"12411";"KHOURY TRANSPORTs"
"12412";"KHOURY TRANSPORTs"
"12415";"KHOURY TRANSPORTs"
"12416";"KHOURY TRANSPORTs"
"12417";"KHOURY TRANSPORTs"
"12418";"KHOURY TRANSPORTs"
"12419";"KHOURY TRANSPORTs"
"15249";"KHOURY TRANSPORTs"
"19415";"KHOURY TRANSPORTs"
"28232";"KHOURY TRANSPORTs"
"28234";"KHOURY TRANSPORTs"
"28235";"KHOURY TRANSPORTs"
"28236";"KHOURY TRANSPORTs"
"28241";"KHOURY TRANSPORTs"
"28242";"KHOURY TRANSPORTs"
"28317";"KHOURY TRANSPORTs"
"28320";"KHOURY TRANSPORTs"
"28321";"KHOURY TRANSPORTs"
"28322";"KHOURY TRANSPORTs"
"30502";"KHOURY TRANSPORTs"
"30783";"KHOURY TRANSPORTs"
"31481";"KHOURY TRANSPORTs"
"31482";"KHOURY TRANSPORTs"
"33751";"KHOURY TRANSPORTs"
"33760";"KHOURY TRANSPORTs"
"33785";"KHOURY TRANSPORTs"
"33786";"KHOURY TRANSPORTs"
"33787";"KHOURY TRANSPORTs"
"33788";"KHOURY TRANSPORTs"
"34256";"KHOURY TRANSPORTs"
"34287";"KHOURY TRANSPORTs"
"36338";"KHOURY TRANSPORTs"
"36411";"KHOURY TRANSPORTs"
"36664";"KHOURY TRANSPORTs"
"36954";"KHOURY TRANSPORTs"
"36955";"KHOURY TRANSPORTs"
"37061";"KHOURY TRANSPORTs"
"37828";"KHOURY TRANSPORTs"
"37829";"KHOURY TRANSPORTs"
"37830";"KHOURY TRANSPORTs"
"37831";"KHOURY TRANSPORTs"
"37832";"KHOURY TRANSPORTs"
"37833";"KHOURY TRANSPORTs"
"37834";"KHOURY TRANSPORTs"
"37835";"KHOURY TRANSPORTs"
"37836";"KHOURY TRANSPORTs"
"37837";"KHOURY TRANSPORTs"
"37838";"KHOURY TRANSPORTs"
"37839";"KHOURY TRANSPORTs"
"37840";"KHOURY TRANSPORTs"
"37841";"KHOURY TRANSPORTs"
"37842";"KHOURY TRANSPORTs"
"37843";"KHOURY TRANSPORTs"
"37844";"KHOURY TRANSPORTs"
"37845";"KHOURY TRANSPORTs"
"37846";"KHOURY TRANSPORTs"
"37847";"KHOURY TRANSPORTs"
"37848";"KHOURY TRANSPORTs"
"37849";"KHOURY TRANSPORTs"
"37850";"KHOURY TRANSPORTs"
"64143";"KHOURY TRANSPORTs"
"64206";"KHOURY TRANSPORTs"
"64375";"KHOURY TRANSPORTs"
"64421";"KHOURY TRANSPORTs"
"64478";"KHOURY TRANSPORTs"
"64479";"KHOURY TRANSPORTs"
"64480";"KHOURY TRANSPORTs"
"64481";"KHOURY TRANSPORTs"
"64482";"KHOURY TRANSPORTs"
"64483";"KHOURY TRANSPORTs"
"64484";"KHOURY TRANSPORTs"
"64485";"KHOURY TRANSPORTs"
"64486";"KHOURY TRANSPORTs"
"64487";"KHOURY TRANSPORTs"
"64494";"KHOURY TRANSPORTs"
"64495";"KHOURY TRANSPORTs"
"69196";"KHOURY TRANSPORTs"
"69742";"KHOURY TRANSPORTs"
"69743";"KHOURY TRANSPORTs"
"69744";"KHOURY TRANSPORTs"
"69745";"KHOURY TRANSPORTs"
"69746";"KHOURY TRANSPORTs"
"69747";"KHOURY TRANSPORTs"
"69748";"KHOURY TRANSPORTs"
"69749";"KHOURY TRANSPORTs"
"90805";"KHOURY TRANSPORTs"
"90827";"KHOURY TRANSPORTs"
"90835";"KHOURY TRANSPORTs"
"90836";"KHOURY TRANSPORTs"
"90837";"KHOURY TRANSPORTs"
"90901";"KHOURY TRANSPORTs"
"90921";"KHOURY TRANSPORTs"
"90922";"KHOURY TRANSPORTs"
"90923";"KHOURY TRANSPORTs"
"90924";"KHOURY TRANSPORTs"
"90925";"KHOURY TRANSPORTs"
"90926";"KHOURY TRANSPORTs"
"90927";"KHOURY TRANSPORTs"
"90928";"KHOURY TRANSPORTs"
"90929";"KHOURY TRANSPORTs"
"90930";"KHOURY TRANSPORTs"
"90931";"KHOURY TRANSPORTs"
"90932";"KHOURY TRANSPORTs"
"90933";"KHOURY TRANSPORTs"
"90979";"KHOURY TRANSPORTs"
"90980";"KHOURY TRANSPORTs"
"90981";"KHOURY TRANSPORTs"
"90982";"KHOURY TRANSPORTs"
"90983";"KHOURY TRANSPORTs"
"90984";"KHOURY TRANSPORTs"
"90985";"KHOURY TRANSPORTs"
"90986";"KHOURY TRANSPORTs"
"90987";"KHOURY TRANSPORTs"
"90988";"KHOURY TRANSPORTs"
"90989";"KHOURY TRANSPORTs"
"90990";"KHOURY TRANSPORTs"
"90991";"KHOURY TRANSPORTs"
"90992";"KHOURY TRANSPORTs"
"90993";"KHOURY TRANSPORTs"
"90994";"KHOURY TRANSPORTs"
"90995";"KHOURY TRANSPORTs"
"90996";"KHOURY TRANSPORTs"
"90997";"KHOURY TRANSPORTs"
"90998";"KHOURY TRANSPORTs"
"90999";"KHOURY TRANSPORTs"
"91000";"KHOURY TRANSPORTs"
"7782";"COGELEC"
"1239";"COGELEC"
"29601";"COGELEC"
"29645";"COGELEC"
"29695";"COGELEC"
"29698";"COGELEC"
"29718";"COGELEC"
"29723";"COGELEC"
"29733";"COGELEC"
"29734";"COGELEC"
"29756";"COGELEC"
"29763";"COGELEC"
"29772";"COGELEC"
"29787";"COGELEC"
"29790";"COGELEC"
"37758";"COGELEC"
"69255";"COGELEC"
"69601";"COGELEC"
"31470";"CMS"
"31471";"CMS"
"31472";"CMS"
"31473";"CMS"
"31474";"CMS"
"31475";"CMS"
"31476";"CMS"
"31477";"CMS"
"31479";"CMS"
"31480";"CMS"
"31734";"CMS"
"69010";"CMS"
"69026";"CMS"
"69027";"CMS"
"69137";"CMS"
"69576";"CMS"
"69577";"CMS"
"69610";"CMS"
"64376";"ets cheikh diagne"
"64377";"ets cheikh diagne"
"64425";"ets cheikh diagne"
"64426";"ets cheikh diagne"
"64427";"ets cheikh diagne"
"64428";"ets cheikh diagne"
"64432";"ets cheikh diagne"
"64439";"ets cheikh diagne"
"64440";"ets cheikh diagne"
"64441";"ets cheikh diagne"
"64442";"ets cheikh diagne"
"64443";"ets cheikh diagne"
"64445";"ets cheikh diagne"
"64446";"ets cheikh diagne"
"64462";"ets cheikh diagne"
"64463";"ets cheikh diagne"
"64467";"ets cheikh diagne"
"64468";"ets cheikh diagne"
"64469";"ets cheikh diagne"
"64470";"ets cheikh diagne"
"64477";"ets cheikh diagne"
"64496";"ets cheikh diagne"
"64498";"ets cheikh diagne"
"64499";"ets cheikh diagne"
"64500";"ets cheikh diagne"
"69922";"ets cheikh diagne"
"69923";"ets cheikh diagne"
